#big linear terms
#size	DB	LN
10	0.0	0.0
20	4.0	4.0
30	0.0	8.001
40	8.0	8.001
50	12.001	28.001
60	24.002	28.001
70	32.002	52.004
80	48.003	60.004
90	72.004	72.005
100	80.005	92.006
110	104.006	112.007
120	132.008	168.011
130	128.008	192.012
140	176.011	232.015
150	192.012	216.013
160	244.015	312.02
170	212.013	344.021
180	292.019	400.025
190	316.02	436.027
200	396.025	432.027
210	440.027	496.031
220	480.03	624.039
230	500.032	680.043
240	540.033	752.047
250	596.037	732.046
260	628.039	808.05
270	776.049	868.054
280	764.048	964.06
290	836.052	1036.065
300	940.059	1172.073
310	960.06	1292.081
320	848.053	1332.084
330	1052.066	1432.089
340	1104.069	1616.101
350	1032.065	1648.103
360	1356.085	1588.099
370	1516.095	1720.107
380	1548.097	1820.114
390	1488.093	2124.133
400	1672.104	2008.126
