church numerals
size DB LN
1 0.0 0.0
2 0.0 0.0
3 0.0 0.0
4 4.0 0.0
5 0.0 0.0
6 4.001 0.0
7 4.0 0.0
8 4.0 4.0
9 4.001 4.0
10 4.0 4.0
11 8.001 8.0
12 8.001 12.0
13 12.001 8.001
14 16.001 12.0
15 16.001 16.001
16 20.002 16.001
17 24.001 20.001
18 24.002 28.002
19 28.001 28.002
20 32.002 32.002
21 36.002 36.003
22 40.002 40.003
23 44.003 44.002
24 48.003 56.004
25 56.003 56.004
26 64.004 64.004
27 72.004 64.004
28 76.005 72.005
29 84.005 76.005
30 92.005 84.006
31 92.005 92.006
32 108.007 96.006
33 108.007 116.008
34 124.008 120.007
35 128.008 128.008
36 136.009 132.008
37 148.009 144.009
38 156.01 148.009
39 160.01 168.011
40 164.01 172.011
41 188.012 196.012
42 196.012 188.012
43 216.013 200.013
44 220.014 220.013
45 232.015 224.014
46 240.015 228.014
47 260.016 248.016
48 268.017 264.017
49 276.017 284.017
50 296.019 296.018
