big linear terms
size	DB	LN
10	4.0	0.0
20	4.0	0.0
30	4.0	8.001
40	8.0	16.001
50	12.001	32.002
60	24.001	36.002
70	28.001	64.004
80	48.004	80.005
90	76.004	108.007
100	80.005	136.009
110	92.006	160.009
120	120.008	184.011
130	180.012	212.013
140	172.011	340.02
150	176.011	356.022
160	236.015	400.025
170	288.019	440.027
180	308.019	504.032
190	352.022	580.036
200	392.024	648.042
210	424.026	732.045
220	440.028	844.053
230	508.031	924.059
240	504.031	908.057
250	656.041	988.062
260	672.042	1088.068
270	692.043	1288.08
280	760.048	1280.08
290	824.051	1672.105
300	856.053	1724.108
310	728.045	1692.106
320	1008.063	2004.125
330	880.055	1924.12
340	1200.075	2072.129
350	1152.072	2312.145
360	1276.081	2472.154
370	1156.072	2316.145
380	1464.092	2428.152
390	1668.104	2644.165
400	1652.103	2968.185
