church numerals
size	DB	LN
1	0.0	0.0
2	0.0	0.0
3	0.0	4.0
4	0.0	0.0
5	4.0	0.0
6	0.0	4.001
7	0.0	4.0
8	4.0	0.0
9	4.0	8.001
10	4.0	8.001
11	4.0	12.001
12	12.0	12.001
13	8.001	16.001
14	16.001	20.001
15	16.001	24.002
16	20.001	24.001
17	24.002	28.002
18	24.001	32.002
19	24.002	40.002
20	32.002	48.003
21	36.002	44.003
22	40.003	56.003
23	48.003	64.004
24	56.004	68.004
25	56.004	76.005
26	64.004	88.005
27	72.005	84.005
28	76.005	104.006
29	84.005	108.007
30	88.006	128.008
31	100.006	128.008
32	104.006	144.009
33	116.008	144.009
34	128.008	160.01
35	128.008	172.01
36	136.009	200.013
37	156.01	216.013
38	148.009	224.014
39	164.011	236.014
40	184.012	244.015
41	196.012	284.018
42	200.012	276.018
43	216.013	280.018
44	216.013	296.019
45	228.014	316.02
46	240.015	368.023
47	260.017	344.021
48	272.017	372.023
49	288.018	392.025
50	292.018	404.026
