#big linear terms
#size	Hobbit
10	0.0
20	0.0
30	4.0
40	8.0
50	12.001
60	20.001
70	28.002
80	40.0025
90	48.003
100	72.00450000000001
110	88.0055
120	108.0065
130	120.008
140	160.01
150	176.011
160	208.013
170	238.0145
180	264.016
190	310.02
200	340.021
210	388.024
220	422.0265
230	474.0295
240	510.03200000000004
250	544.034
260	620.039
270	668.042
280	688.043
290	796.0495
300	848.053
310	880.0545
320	982.062
330	1020.0635
340	1044.0645
350	1108.0695
360	1210.0755
370	1256.0785
380	1366.086
390	1410.088
400	1490.0935
