church numerals
size Hobbit
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 2.0
7 4.0
8 4.0
9 6.000500000000001
10 8.000499999999999
11 12.001
12 12.001
13 16.001
14 20.001
15 22.0015
16 28.001
17 30.002000000000002
18 34.002
19 36.002
20 48.003
21 52.003
22 60.0035
23 64.004
24 72.004
25 76.005
26 84.0055
27 84.0055
28 98.006
29 102.0065
30 114.007
31 124.008
32 130.008
33 140.009
34 152.009
35 156.01
36 168.011
37 172.011
38 202.013
39 194.012
40 214.013
41 216.014
42 242.015
43 238.015
44 280.017
45 270.017
46 308.0195
47 306.019
48 336.021
49 336.021
50 354.022
