big linear terms
size	Hobbit
10	0.0
20	0.0
30	4.0
40	8.0
50	12.001
60	20.001
70	28.002
80	40.0025
90	48.003
100	74.00450000000001
110	90.0055
120	106.0065
130	120.008
140	156.01
150	180.011
160	204.013
170	240.015
180	264.016
190	304.019
200	374.023
210	372.0235
220	416.026
230	476.03
240	510.0315
250	554.0345
260	602.0375
270	646.04
280	700.0435
290	806.0505
300	840.0525
310	886.0554999999999
320	954.0595
330	1026.064
340	1066.067
350	1166.073
360	1216.077
370	1312.0815
380	1344.084
390	1434.0895
400	1516.095
