church numerals
size	Hobbit
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	4.0
7	4.0
8	4.0
9	6.000500000000001
10	8.000499999999999
11	12.001
12	12.001
13	16.001
14	20.001
15	22.0015
16	26.0015
17	32.002
18	32.002
19	34.002
20	44.003
21	52.003
22	60.004
23	64.004
24	70.004
25	76.005
26	84.005
27	88.006
28	94.006
29	108.007
30	116.007
31	124.0075
32	136.009
33	142.009
34	144.009
35	166.01049999999998
36	164.01049999999998
37	168.0115
38	184.0115
39	194.012
40	222.014
41	218.014
42	250.01549999999997
43	256.016
44	284.018
45	276.017
46	312.0195
47	296.0185
48	338.02099999999996
49	342.0215
50	336.02099999999996
