big linear terms
size	Hobbit
10	0.0
20	0.0
30	4.0
40	8.001
50	16.001
60	24.001
70	34.002
80	48.003
90	60.004
100	84.005
110	106.0065
120	132.008
130	156.0095
140	190.012
150	226.014
160	264.0165
170	306.019
180	352.022
190	400.025
200	460.0285
210	518.0325
220	580.0364999999999
230	652.041
240	734.0455
250	802.05
260	892.055
270	976.061
280	1076.0675
290	1182.074
300	1294.081
310	1414.0884999999998
320	1546.097
330	1680.105
340	1886.118
350	2104.1315
360	2250.1405
370	2582.161
380	2652.166
390	3062.1915
400	3296.206
