church numerals
size Hobbit
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 4.0
7 4.0
8 4.0
9 8.0
10 8.000499999999999
11 12.0
12 12.001
13 16.001
14 20.001
15 20.001
16 24.0015
17 32.002
18 32.002
19 36.002
20 36.002
21 48.003
22 52.0035
23 56.004
24 64.004
25 68.00450000000001
26 78.005
27 82.005
28 88.005
29 94.006
30 96.006
31 112.007
32 118.007
33 132.008
34 138.0085
35 146.009
36 148.009
37 152.0095
38 172.011
39 188.0115
40 202.0125
41 214.014
42 210.013
43 230.014
44 240.015
45 252.016
46 268.017
47 280.0175
48 288.018
49 302.019
50 314.0195
