big linear terms
size	Hobbit
10	0.0
20	0.0
30	4.0
40	8.000499999999999
50	16.001
60	24.0015
70	36.002
80	48.003
90	64.004
100	84.0055
110	108.006
120	132.0085
130	158.01
140	196.012
150	226.014
160	268.017
170	312.02
180	356.02250000000004
190	404.02549999999997
200	466.029
210	526.033
220	588.0364999999999
230	662.0415
240	722.045
250	804.05
260	906.057
270	988.062
280	1086.068
290	1188.075
300	1310.082
310	1428.089
320	1568.0985
330	1700.106
340	1902.1190000000001
350	2016.126
360	2318.1445
370	2422.1515
380	2846.178
390	3090.193
400	3328.208
