church numerals
size	Hobbit
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	4.0
7	4.0
8	4.000500000000001
9	8.0
10	8.001
11	12.000499999999999
12	12.001
13	16.001
14	20.001
15	20.001
16	26.0015
17	28.002
18	32.002
19	36.002
20	36.002
21	44.003
22	54.003
23	60.0035
24	62.004000000000005
25	70.004
26	76.005
27	84.005
28	88.005
29	98.006
30	110.007
31	112.007
32	120.0075
33	128.008
34	140.0085
35	140.009
36	152.0095
37	168.01049999999998
38	178.011
39	188.012
40	196.012
41	198.012
42	212.013
43	226.0145
44	246.015
45	250.01549999999997
46	272.017
47	280.0175
48	286.018
49	308.019
50	316.019
